,0,1,2
ingresos_totales,108759387110.66104,92218665048.30724,208739228271.08176
gastos_personal,57114810423.75931,49249527732.2251,112501791318.57898
liquidez,1.1887374990994337,1.386397111081007,1.3946978325746566
dias_efectivo,93.26669991280164,92.6607021856655,100.11788812407357
cfo,4035926560.487158,5100249201.417557,7362590159.65073
participacion_ley30,0.3360892785714972,0.3163523023168584,0.3374635032599623
participacion_regalias,0.05309509281537491,0.06440296323430084,0.06145999576365359
participacion_servicios,0.12903661298642127,0.22662734290000808,0.21562479731010814
participacion_matriculas,0.14169162581997152,0.1800651938554212,0.189203621557073
hhi_fuentes,0.2859583584586474,0.24351901989156174,0.253302498213189
endeudamiento,0.3966443566802312,0.39145289689479573,0.388198981219049
tendencia_ingresos,-8.901746561778264e-06,0.043235799133929616,0.019628746605024765
gp_ratio,0.5359897235701085,0.5310432674859887,0.5399133572739535
