Model,N,ROC-AUC,ROC-AUC (stable),PR-AUC,Brier,Accuracy,Precision,Recall,Specificity,F1,MCC,TP,FP,FN,TN
LogReg L2,56,0.7675606641123883,0.8697916666666667,0.7121668390636097,0.19888499709677726,0.8035714285714286,0.8076923076923077,0.7777777777777778,0.8275862068965517,0.7924528301886793,0.606527028944757,21,5,6,24
ElasticNet,56,0.7266922094508301,0.8463541666666667,0.6251352049814637,0.2165552996511139,0.6785714285714286,0.6551724137931034,0.7037037037037037,0.6551724137931034,0.6785714285714286,0.35887611749680715,19,10,8,19
Decision Tree,56,0.5191570881226053,0.5755208333333334,0.4932160751126269,0.41175614517726145,0.5357142857142857,0.5172413793103449,0.5555555555555556,0.5172413793103449,0.5357142857142857,0.07279693486590039,15,14,12,15
Random Forest,56,0.6871008939974458,0.7682291666666667,0.6591988619388179,0.22226447864316803,0.75,0.7096774193548387,0.8148148148148148,0.6896551724137931,0.7586206896551724,0.5070670184824145,22,9,5,20
LightGBM,56,0.632183908045977,0.7109375,0.5621066634368198,0.24435058097419007,0.6428571428571429,0.6129032258064516,0.7037037037037037,0.5862068965517241,0.6551724137931034,0.29140307138103316,19,12,8,17
