threshold,precision,recall,f1,accuracy,specificity
0.05,0.48214285714285715,1.0,0.6506024096385542,0.48214285714285715,0.0
0.06836734693877551,0.48214285714285715,1.0,0.6506024096385542,0.48214285714285715,0.0
0.08673469387755102,0.48214285714285715,1.0,0.6506024096385542,0.48214285714285715,0.0
0.10510204081632653,0.5,1.0,0.6666666666666666,0.5178571428571429,0.06896551724137931
0.12346938775510204,0.5,1.0,0.6666666666666666,0.5178571428571429,0.06896551724137931
0.14183673469387753,0.5094339622641509,1.0,0.675,0.5357142857142857,0.10344827586206896
0.16020408163265304,0.5094339622641509,1.0,0.675,0.5357142857142857,0.10344827586206896
0.17857142857142855,0.5294117647058824,1.0,0.6923076923076923,0.5714285714285714,0.1724137931034483
0.19693877551020406,0.54,1.0,0.7012987012987013,0.5892857142857143,0.20689655172413793
0.21530612244897956,0.54,1.0,0.7012987012987013,0.5892857142857143,0.20689655172413793
0.23367346938775507,0.5510204081632653,1.0,0.7105263157894737,0.6071428571428571,0.2413793103448276
0.2520408163265306,0.5625,1.0,0.72,0.625,0.27586206896551724
0.2704081632653061,0.5531914893617021,0.9629629629629629,0.7027027027027027,0.6071428571428571,0.27586206896551724
0.2887755102040816,0.5531914893617021,0.9629629629629629,0.7027027027027027,0.6071428571428571,0.27586206896551724
0.3071428571428571,0.5531914893617021,0.9629629629629629,0.7027027027027027,0.6071428571428571,0.27586206896551724
0.3255102040816326,0.5652173913043478,0.9629629629629629,0.7123287671232876,0.625,0.3103448275862069
0.3438775510204081,0.5813953488372093,0.9259259259259259,0.7142857142857143,0.6428571428571429,0.3793103448275862
0.36224489795918363,0.5952380952380952,0.9259259259259259,0.7246376811594203,0.6607142857142857,0.41379310344827586
0.38061224489795914,0.5952380952380952,0.9259259259259259,0.7246376811594203,0.6607142857142857,0.41379310344827586
0.39897959183673465,0.6,0.8888888888888888,0.7164179104477612,0.6607142857142857,0.4482758620689655
0.41734693877551016,0.6052631578947368,0.8518518518518519,0.7076923076923077,0.6607142857142857,0.4827586206896552
0.43571428571428567,0.6,0.7777777777777778,0.6774193548387096,0.6428571428571429,0.5172413793103449
0.4540816326530612,0.6363636363636364,0.7777777777777778,0.7,0.6785714285714286,0.5862068965517241
0.4724489795918367,0.65625,0.7777777777777778,0.711864406779661,0.6964285714285714,0.6206896551724138
0.4908163265306122,0.6774193548387096,0.7777777777777778,0.7241379310344828,0.7142857142857143,0.6551724137931034
0.5091836734693878,0.6774193548387096,0.7777777777777778,0.7241379310344828,0.7142857142857143,0.6551724137931034
0.5275510204081633,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.75,0.7586206896551724
0.5459183673469388,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.6607142857142857,0.7586206896551724
0.5642857142857143,0.7142857142857143,0.5555555555555556,0.625,0.6785714285714286,0.7931034482758621
0.5826530612244898,0.7142857142857143,0.5555555555555556,0.625,0.6785714285714286,0.7931034482758621
0.6010204081632653,0.7,0.5185185185185185,0.5957446808510638,0.6607142857142857,0.7931034482758621
0.6193877551020408,0.7,0.5185185185185185,0.5957446808510638,0.6607142857142857,0.7931034482758621
0.6377551020408163,0.7368421052631579,0.5185185185185185,0.6086956521739131,0.6785714285714286,0.8275862068965517
0.6561224489795918,0.7647058823529411,0.48148148148148145,0.5909090909090909,0.6785714285714286,0.8620689655172413
0.6744897959183673,0.8,0.4444444444444444,0.5714285714285714,0.6785714285714286,0.896551724137931
0.6928571428571428,0.8,0.2962962962962963,0.43243243243243246,0.625,0.9310344827586207
0.7112244897959183,0.75,0.2222222222222222,0.34285714285714286,0.5892857142857143,0.9310344827586207
0.7295918367346939,0.75,0.2222222222222222,0.34285714285714286,0.5892857142857143,0.9310344827586207
0.7479591836734694,0.75,0.2222222222222222,0.34285714285714286,0.5892857142857143,0.9310344827586207
0.7663265306122449,0.6666666666666666,0.14814814814814814,0.24242424242424243,0.5535714285714286,0.9310344827586207
0.7846938775510204,0.5,0.07407407407407407,0.12903225806451613,0.5178571428571429,0.9310344827586207
0.8030612244897959,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.5357142857142857,0.9655172413793104
0.8214285714285714,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.5357142857142857,0.9655172413793104
0.8397959183673469,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.5357142857142857,0.9655172413793104
0.8581632653061224,0.5,0.037037037037037035,0.06896551724137931,0.5178571428571429,0.9655172413793104
0.8765306122448979,1.0,0.037037037037037035,0.07142857142857142,0.5357142857142857,1.0
0.8948979591836734,0.0,0.0,0.0,0.5178571428571429,1.0
0.9132653061224489,0.0,0.0,0.0,0.5178571428571429,1.0
0.9316326530612244,0.0,0.0,0.0,0.5178571428571429,1.0
0.95,0.0,0.0,0.0,0.5178571428571429,1.0
